feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,delta_happiness,delta_support,delta_income
0.67,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7244718,0.16794834,0.1,0.6662502,0.0,0.8948892,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.26,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.92414284,0.7897505,0.1,0.6063079,0.0,0.6439819,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.47,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.30544177,0.5642637,0.2,0.50643593,0.0,0.6835777,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.040751845,0.09571233,0.4,0.78584486,0.0,0.8697525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.56,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12586315,0.2810474,0.6,0.3059679,0.0,0.65445167,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.60149294,0.14318028,0.2,0.39662966,0.0,0.7390704,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.43,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6259358,0.97322565,0.2,0.63090605,0.0,0.6709834,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4205112,0.6066301,0.4,0.66228926,0.0,0.6491316,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.26,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4501212,0.4286439,0.2,0.48089218,0.0,0.71417904,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.62,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0052970815,0.49274215,0.1,0.51199955,0.0,0.6331676,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.46,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.003643996,0.8598143,0.2,0.45295194,0.0,0.7026921,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.31,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5227356,0.23089294,0.1,0.6887761,0.0,0.7512077,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.29,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5109295,0.77336675,0.1,0.6549167,0.0,0.6501014,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.61,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.77228206,0.19702844,0.1,0.5709436,0.0,0.7705494,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.27,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.84211963,0.2885896,0.4,0.5774722,0.0,0.8949591,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.23,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6396683,0.69051313,0.4,0.4506452,0.0,0.68088907,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.57,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9137881,0.6290616,0.3,0.42468923,0.0,0.6298883,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.67,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.97191674,0.1457632,0.4,0.4231216,0.0,0.6513196,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.55,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.350011,0.24231772,0.4,0.6625006,0.0,0.64221895,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.66,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7680103,0.4888455,0.4,0.66591567,0.0,0.62812096,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.46,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.35112008,0.49356368,0.6,0.49492928,0.0,0.74929214,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9699978,0.37893128,0.1,0.4204463,0.0,0.61363864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.31,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.91507876,0.13819718,0.1,0.49561307,0.0,0.63007206,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.31,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.77787495,0.82335895,0.6,0.5006692,0.0,0.8651428,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.21501422,0.006722218,0.1,0.4303069,0.0,0.7510371,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.39,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.26579276,0.16918896,0.3,0.49089193,0.0,0.70909566,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.64,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2952457,0.024140762,0.5,0.51560265,0.0,0.5910797,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.64,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5200472,0.08661836,0.2,0.433979,0.0,0.6065235,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.57,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.84188336,0.5407216,0.3,0.60568273,0.0,0.5945427,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.39,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.12488026,0.39859626,0.3,0.64983016,0.0,0.70964503,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.67,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.08497565,0.7260592,0.6,0.40205213,0.0,0.641779,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.60201097,0.8318642,0.1,0.5013304,0.0,0.68132627,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.19,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2384806,0.10503238,0.5,0.6359549,0.0,0.6192315,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.51,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.23919454,0.6211578,0.5,0.63758105,0.0,0.60180366,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8819902,0.183987,0.5,0.69713384,0.0,0.7516889,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.52,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.027112735,0.5567833,0.2,0.5120493,0.0,0.6992008,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.39,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6962287,0.86946976,0.2,0.75076944,0.0,0.750147,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.21,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.721273,0.7040117,0.1,0.3750852,0.0,0.64981484,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.31,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.40027285,0.9807481,0.1,0.7043472,0.0,0.79661196,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.49,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.163928,0.9446915,0.1,0.35165343,0.0,0.60107255,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.69,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.32254067,0.21967863,0.1,0.72006434,0.0,0.574221,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.53,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.36292717,0.78129274,0.4,0.40629405,0.0,0.8959073,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.55,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8930145,0.6049069,0.3,0.52457434,0.0,0.60060096,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.32674864,0.66786146,0.1,0.5358001,0.0,0.6206326,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7569792,0.90320265,0.4,0.34669012,0.0,0.62721336,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.66,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.58193713,0.5998349,0.3,0.6761605,0.0,0.6414208,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.39,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6979587,0.70393866,0.6,0.7715378,0.0,0.6007317,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.32,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7207452,0.26608256,0.4,0.45469916,0.0,0.7539045,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.57,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8523654,0.5933855,0.1,0.32291475,0.0,0.5898348,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.29,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.15365729,0.5055923,0.4,0.37958464,0.0,0.863602,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.59,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009182446,0.22979198,0.2,0.3210312,0.0,0.6420096,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.26,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7104048,0.63545454,0.3,0.6576828,0.0,0.88440096,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9344965,0.33110538,0.1,0.69059706,0.0,0.7424178,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.51,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2746829,0.056069452,0.5,0.55373585,0.0,0.7523702,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.68,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.68250185,0.8316936,0.1,0.4282021,0.0,0.87788594,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.22,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.12614751,0.3263789,0.2,0.39194477,0.0,0.68402743,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.18,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8734707,0.2908083,0.6,0.43899947,0.0,0.70933557,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.31,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.26218098,0.8012498,0.5,0.75379,0.0,0.6410275,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013961117,0.2765023,0.2,0.79814726,0.0,0.70940554,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9780204,0.53579247,0.3,0.66499776,0.0,0.7304984,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6556053,0.10519089,0.3,0.5085265,0.0,0.5938431,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8422603,0.08608943,0.2,0.44733816,0.0,0.8554554,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.33,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.83200157,0.88534033,0.3,0.35126296,0.0,0.7518931,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.91166157,0.8992753,0.1,0.54252684,0.0,0.61940765,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.19,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.13822636,0.52941716,0.1,0.338369,0.0,0.7766505,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.57,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2816739,0.3251795,0.5,0.36617756,0.0,0.7733671,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.84366727,0.44441667,0.6,0.4119765,0.0,0.70469385,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2337544,0.33778632,0.2,0.5262186,0.0,0.8370736,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.61,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0874633,0.25305772,0.5,0.30724508,0.0,0.852864,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.47,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1607892,0.35628685,0.1,0.572488,0.0,0.62206984,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.84213287,0.39054245,0.3,0.5909122,0.0,0.75117904,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.38,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.86153,0.016921993,0.6,0.5386957,0.0,0.6003328,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.70189524,0.64847696,0.3,0.7149235,0.0,0.7066581,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.43,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.70418966,0.60788107,0.4,0.4501835,0.0,0.69718915,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.51,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4641137,0.421373,0.1,0.6921147,0.0,0.7326751,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.44,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5286154,0.63817817,0.3,0.6372802,0.0,0.6133122,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.46,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.81658,0.5927953,0.3,0.64621705,0.0,0.8497985,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.54,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9946695,0.45835176,0.2,0.35975528,0.0,0.6542345,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.47,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6380035,0.050960977,0.4,0.65997946,0.0,0.747478,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.46,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5095888,0.7187321,0.3,0.66343105,0.0,0.6731335,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.62,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1531593,0.8730265,0.4,0.38970697,0.0,0.6790617,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.34,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.251298,0.15096465,0.2,0.725913,0.0,0.71392876,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.95858526,0.80858874,0.3,0.66976255,0.0,0.6178634,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.54,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.93869585,0.70008886,0.5,0.3394552,0.0,0.7194557,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5024106,0.8364526,0.6,0.37454468,0.0,0.7269849,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.42316422,0.5807471,0.3,0.47481987,0.0,0.61875516,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.93208706,0.1200443,0.2,0.6348317,0.0,0.7351129,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.21,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.90225834,0.65739006,0.5,0.6691453,0.0,0.58164114,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.81965816,0.4884644,0.3,0.36020947,0.0,0.70916325,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.34,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.42029503,0.44546044,0.3,0.6635126,0.0,0.888371,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.56,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.86850774,0.45123807,0.2,0.59025294,0.0,0.7505231,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.73413616,0.12529498,0.1,0.5213766,0.0,0.6840275,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.41,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.20535664,0.4367477,0.6,0.60153097,0.0,0.66904044,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8822171,0.6600349,0.4,0.5790865,0.0,0.63523996,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.62,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8997559,0.15295148,0.3,0.7979718,0.0,0.630317,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8590577,0.36207584,0.1,0.454726,0.0,0.75458604,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.42,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.26310992,0.5417014,0.3,0.5339979,0.0,0.60447174,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.38,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2969876,0.07102054,0.1,0.7233253,0.0,0.75365746,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.21,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8801864,0.9413062,0.2,0.49337775,0.0,0.6752716,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.54,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.61883473,0.6981023,0.3,0.47465187,0.0,0.65113336,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.52,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.035870302,0.101444125,0.6,0.64538,0.0,0.87325823,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.463272,0.6898788,0.4,0.38986126,0.0,0.7540896,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.23,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.58430326,0.12257245,0.3,0.76235723,0.0,0.86930543,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.39,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4855933,0.9446436,0.1,0.35421097,0.0,0.64273435,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.37,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5574546,0.6669812,0.5,0.78348696,0.0,0.69157666,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.65,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.77185655,0.8943436,0.4,0.67190886,0.0,0.6275979,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.59,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.961328,0.11369783,0.1,0.58398396,0.0,0.671304,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.21,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.16890277,0.51759815,0.6,0.45628348,0.0,0.72032845,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9729505,0.010071432,0.3,0.72806484,0.0,0.6144814,0.0,1.0,0.0,0.0,0.0,0.0,0.0
